"accessionNum","Genus","Species","Subspecies","Variety","Forma","habitatDescription","vlat","vlon","CollectionDate","collNum","notes","LocationName","LocationDescription"
"V078911","Achillea","millefolium",NA,NA,NA,"on dry cliffs in sun",NA,NA,1973-06-12,"115",NA,"Saturna Island",NA
"V083201","Daucus","carota",NA,NA,NA,"roadside and meadow; common",48,123,1975-08-04,"774",NA,"Mayne Island",NA
"V083236","Allium","vineale",NA,NA,NA,"abandoned farm fields",48,123,1975-07-09,"696",NA,"Mayne Island",NA
"V083305","Lomatium","utriculatum",NA,NA,NA,NA,48,123,1975-05-30,"574",NA,"Mayne Island",NA
"V083309","Allium","cernuum",NA,NA,NA,"dry ridge",48,123,1975-07-08,"623",NA,"Mayne Island",NA
"V083310","Allium","acuminatum",NA,NA,NA,"dry ridge",48,123,1975-07-08,"633",NA,"Mayne Island",NA
"V083318","Salicornia","virginica",NA,NA,NA,"mud flats",48,123,1975-08-04,"777A",NA,"Mayne Island; Horton Bay",NA
"V083434","Achlys","triphylla",NA,NA,NA,"moist, Douglas fir - sword ferm forest",48,123,1975-05-28,"493",NA,"Mayne Island",NA
"V087220","Stipa","lemmonii",NA,NA,NA,"open bluffs, widespread in small clumps",NA,NA,1976-05-19,"834",NA,"Saturna Island",NA
"V087223","Allium","amplectens",NA,NA,NA,"in conglomerate outcrop of Sedum, moss etc.",NA,NA,1976-07-13,"899",NA,"Galiano Island",NA
"V095478","Agrostis","gigantea",NA,NA,NA,"common in meadow",NA,NA,1974-07-10,"384","one id revision from Agrostis stolonifera var. stolonifera","Saturna Island",NA
"V097110","Lomatium","utriculatum",NA,NA,NA,NA,NA,NA,1975-06-28,"199",NA,"Galiano Island",NA
