"occurrenceID","scientificName"
1,"Artemisia suksdorfii"
2,"Poa annua"
3,"Lolium perenne"
4,"Plantago lanceolata"
5,"Bromus hordeaceus"
6,"Bromus tectorum"
7,"Vicia sativa"
8,"Poa pratensis"
9,"Rumex acetosella"
10,"Vulpia myuros megalura"
11,"Arbutus menziesii"
12,"Lotus corniculatus"
13,"Trifolium dubium"
14,"Trifolium repens"
15,"Trifolium subterraneum"
16,"Aira caryophyllea"
17,"Hypochaeris radicata"
18,"Dactylis glomerata"
19,"Bromus pacificus"
20,"Bellis perennis"
21,"Matricaria discoidea"
22,"Pseudotsuga menziesii"
23,"Sedum spathulifolium"
24,"Juniperus scopulorum"
25,"Lonicera ciliosa"
26,"Salix scouleriana"
27,"Filago germanica"
28,"Rubus ursinus"
29,"Gaultheria shallon"
31,"Bromus sterilis"
32,"Daucus pusillus"
33,"Heuchera micrantha"
34,"Achillea millefolium"
35,"Vaccinium parvifolium"
37,"Vicia gigantea"
38,"Ribes sanguineum"
39,"Grindelia integrifolia"
40,"Conioselinum gmelinii"
41,"Plantago maritima"
42,"Elymus glaucus"
43,"Thuja plicata"
44,"Lonicera hispidula"
45,"Acer macrophyllum"
46,"Galium triflorum"
47,"Lactuca muralis"
48,"Verbascum thapsus"
49,"Epilobium minutum"
50,"Cerastium holosteoides"
51,"Berberis nervosa"
52,"Galium aparine"
53,"Hieracium albiflorum"
54,"Lysimachia latifolia"
55,"Festuca occidentalis"
56,"Amelanchier alnifolia"
57,"rosa gymnocarpa"
58,"Anthoxanthum odoratum"
59,"Madia madioides"
60,"Festuca rubra litoralis"
61,"Bromus vulgaris"
62,"Barbarea orthoceras"
63,"Egeria densa"
64,"Potamogeton richardsonii"
65,"Potamogeton praelongus"
66,"Carex exsiccata"
67,"Carex obnupta"
68,"Agrostis gigantea"
70,"Nuphar polysepala"
71,"Spiraea douglassii"
72,"Salix lasiandra"
73,"Sparganium emersum"
74,"Lemna minor"
75,"Typha latifolia"
76,"Myriopphyllum spicatum"
77,"Rubus spectabilis"
78,"Lycopus uniflorus"
79,"Veronica americana"
80,"Symphyotricum subspicatum"
81,"Carex lasiocarpa"
82,"Scirpus acutus"
83,"Potamogeton robbinsii"
84,"Potamogeton amplifolius"
85,"Eleocharis palustris"
87,"Carex cusickii"
88,"Comarum palustre"
89,"Potamogeton natans"
90,"Drosera rotundifolia"
92,"Nymphae odorata"
94,"Elodea densa"
97,"Schoenoplectus acutus"
98,"Spiraea"
100,"Alnus"
104,"Agrostis scabra"
106,"Sphagnum"
108,"Carex interior"
109,"Rhododendron groenlandicum"
112,"Spiraea douglasii"
113,"Hypericum anagalloides"
114,"Viola palustris"
115,"Dulichium arundinaceum"
116,"Carex lenticularis"
120,"Juncus ensifolius"
123,"Kalmia polifolia"
126,"Ranunculus flammula"
129,"Juncus effusus"
130,"Torreyochloa pallida pauciflora"
136,"Elodea canadensis"
139,"Cicuta douglasii"
140,"Sium suave"
141,"Lysimachia thyrsiflora"
144,"Cornus sericea"
152,"Oenanthe sarmentosa"
154,"Phalaris arundinacea"
173,"Sparganium e"
176,"Myosotis laxa"
177,"Typha"
179,"Potamogeton robinsii"
183,"Salix"
184,"Cornus"
185,"Veronica arvensis"
187,"Allium cernuum"
188,"Holcus lanatus"
189,"Erythranthe guttata"
190,"Juncus bufonius"
191,"Plantago elongata"
192,"Festuca rubra"
194,"Sedum oreganum"
195,"Montia parvifolia"
196,"Prunella vulgaris"
197,"Fragaria virginiana"
198,"Opuntia fragilis"
199,"Veronica scutellata"
200,"Malus fusca"
201,"Grindellia"
203,"Eriophyllum lanatum"
204,"Senecio sylvaticus"
205,"Toxicoscordion venenosum"
206,"Melica subulata"
207,"Berberis aquifolium"
208,"Holodiscus discolor"
213,"Rosa nutkana"
214,"Rosa gymnocarpa"
215,"Pinus contorta"
216,"Ranunculus occidentalis"
217,"Sanicula crassicaulis"
218,"Ambrosia chamissonis"
220,"Leymus mollis"
221,"Lathyrus japonicus"
223,"Atriplex patula"
225,"Danthonia"
227,"Carex echinata"
228,"Carex aurea"
229,"Poa trivialis"
230,"Geranium robertianum"
231,"Ranunculus uncinatus"
234,"Carex deweyana"
235,"Iris pseudacorus"
236,"Clarkia amoena"
237,"Torilis japonica"
238,"Osmorhiza berteroi"
239,"Stellaria media"
240,"Nemophila parviflora"
242,"Claytonia perfoliata"
244,"Montia fontana"
245,"Micranthes integrifolia"
246,"Micranthes rufidula"
247,"Geranium molle"
251,"Lithophragma parviflorum"
257,"Camassia leichtlinii"
258,"Allium"
259,"Symphoricarpos albus"
260,"Clinopodium douglasii"
261,"Selaginella wallacei"
262,"Racomitrium heterostichum"
263,"Brachythecium"
264,"Umbilicaria"
265,"Mimulus"
266,"Collinsia"
267,"Collinsia parviflora"
268,"Trifolium"
269,"Bromus"
270,"Aira praecox"
272,"Madia gracilis"
276,"Alchemilla arvensis"
277,"Racomitrium canenscens"
278,"Erodium cicutarium"
281,"Bryum"
282,"Collinsia grandiflora"
283,"Erythranthe alsinoides"
284,"Cardamine oligosperma"
286,"Sedum lanceolatum"
291,"Aphyllon purpureum"
292,"Sinapis arvensis"
293,"Pentagramma triangularis"
294,"Delphinium menziesii"
295,"Agoseris grandiflora"
296,"Plectritis congesta"
297,"Rumex"
